Gender,Annual.Salary,Department,Department.Name,Assignment,Position.Title,Date.Hired
M,46641.6485,DOT,Department of Transportation,Fulltime,Bus Operator,08/11/2008
F,77143.3641,HHS,Department of Health and Human Services,Fulltime,Behavioral Health Associate Counselor,08/27/1990
M,62020,POL,Department of Police,Fulltime,Police Officer III,08/12/2013
F,44957.5341,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,08/08/2005
M,45620.7147,DOT,Department of Transportation,Fulltime,Motor Pool Attendant,06/09/2002
M,50459.502,DOT,Department of Transportation,Fulltime,Bus Operator,03/17/2008
F,37459.1022,COR,Correction and Rehabilitation,Fulltime,Principal Administrative Aide,03/21/2016
M,49670.28,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/12/2016
M,65751,DOT,Department of Transportation,Fulltime,Bus Operator,07/23/2000
F,112429.041,HRC,Office of Human Rights,Fulltime,Manager III,12/21/2009
M,123529.11,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,08/14/1989
F,51304.98,SHF,Sheriff's Office,Fulltime,Client Assistance Specialist,09/05/2017
F,108419.2782,HHS,Department of Health and Human Services,Fulltime,Program Manager II,05/21/1990
F,73950,FIN,Department of Finance,Fulltime,Accountant/Auditor III,06/12/2017
M,41123.74,POL,Department of Police,Fulltime,Office Services Coordinator,07/24/2017
F,89720.21,HHS,Department of Health and Human Services,Fulltime,Program Specialist II,02/19/1991
F,50088.0078,COR,Correction and Rehabilitation,Fulltime,Resident Supervisor II,03/07/2016
M,48480.698,CEC,Community Engagement Cluster,Fulltime,Urban District Public Service Aide,03/02/2008
M,97599.72,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,11/29/1999
F,74139.94,DGS,Department of General Services,Fulltime,Senior Executive Administrative Aide,08/21/2006
M,46179.23,DOT,Department of Transportation,Fulltime,Bus Operator,03/26/2012
F,50786.667,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,11/30/2015
M,65751,DOT,Department of Transportation,Fulltime,Bus Operator,03/19/2000
F,57673.2915,POL,Department of Police,Fulltime,Police Aide,08/20/2000
M,45242.68,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,10/02/2017
F,37720.37,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,06/07/2012
M,87386.2506,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,11/28/1988
M,88800.9556,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,06/13/1994
F,32340,CEC,Community Engagement Cluster,Parttime,Program Manager I,12/11/2017
M,63980.5098,REC,Department of Recreation,Fulltime,Recreation Specialist,12/12/2005
F,109476.8928,DOT,Department of Transportation,Fulltime,Manager III,05/02/2016
M,85358,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,03/27/2006
F,58034.28,HHS,Department of Health and Human Services,Fulltime,Executive Administrative Aide,04/05/2004
F,69729.597,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,07/25/2005
F,69540.5942,FIN,Department of Finance,Fulltime,Fiscal Assistant,01/31/1994
M,101099.3382,SHF,Sheriff's Office,Fulltime,Deputy Sheriff Sergeant,10/16/1989
F,101833.74,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,08/17/1998
F,96086.55,HHS,Department of Health and Human Services,Fulltime,Therapist II,07/24/2017
M,122293.8189,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,03/14/1986
M,98362.6,DGS,Department of General Services,Fulltime,Equipment Services Coordinator,05/31/2005
F,63547.02,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),09/24/2012
M,79083.8686,DGS,Department of General Services,Fulltime,Mechanic Technician II,03/17/2003
M,60746.6217,DOT,Department of Transportation,Fulltime,Bus Operator,05/12/2003
M,114373.4872,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,08/08/2016
M,59245.9,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,06/01/2010
F,77354.89,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),06/30/2003
M,84762,COR,Correction and Rehabilitation,Fulltime,Resident Supervisor II,02/19/2002
M,57887.28,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/10/2014
M,54725.5774,DGS,Department of General Services,Fulltime,HVAC Mechanic I,07/14/2014
F,40407.38,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,03/12/2013
F,79269,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),01/22/2001
M,48751.3998,DOT,Department of Transportation,Fulltime,Bus Operator,11/26/2007
M,85337.3412,DOT,Department of Transportation,Fulltime,Transit Marketing Specialist,06/25/2007
F,144328,CAT,County Attorney's Office,Fulltime,Assistant County Attorney III,10/08/2000
F,89706.87,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,11/08/1999
M,87304.86,DTS,Department of Technology Services,Fulltime,Information Technology Specialist I,07/02/1990
F,69353.46,COR,Correction and Rehabilitation,Fulltime,Correctional Health Nurse II,10/30/2017
M,59653.0476,DOT,Department of Transportation,Fulltime,Bus Operator,01/05/2004
F,128621.592,FIN,Department of Finance,Fulltime,Manager III,10/10/1989
M,16335,HHS,Department of Health and Human Services,Fulltime,County Health Officer,09/18/2017
M,92787.69,POL,Department of Police,Fulltime,Police Officer III,04/12/1999
M,50178.9204,DOT,Department of Transportation,Fulltime,Bus Operator,12/04/2006
F,98314.19,HHS,Department of Health and Human Services,Fulltime,Social Worker III,02/05/1996
M,57448.032,DOT,Department of Transportation,Fulltime,Safety and Training Instructor,09/23/2013
F,47103.447,DOT,Department of Transportation,Fulltime,Bus Operator,07/01/2013
M,35380.6333,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,12/12/2005
M,48751.3998,DOT,Department of Transportation,Fulltime,Bus Operator,07/17/2012
M,39839.6394,DOT,Department of Transportation,Fulltime,Bus Operator,05/30/2017
M,41973.98,DLC,Department of Liquor Control,Fulltime,Liquor Store Clerk II,06/03/2012
F,57890.049,DLC,Department of Liquor Control,Fulltime,Alcohol Beverage Purchasing Specialist,12/26/2006
M,42784.92,HHS,Department of Health and Human Services,Fulltime,Office Clerk,07/17/2000
M,114806.4677,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,01/19/1988
M,74579.41,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/27/2006
F,84042.84,POL,Department of Police,Fulltime,Police Officer III,02/03/2003
M,96986.1084,POL,Department of Police,Fulltime,Police Officer III,04/18/1993
M,72119.151,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,04/03/2017
F,55058.8206,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,10/22/2001
M,30963.051,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,01/04/2011
F,62607.6,HHS,Department of Health and Human Services,Fulltime,Program Manager I,05/15/2017
M,87925.8058,DEP,Department of Environmental Protection,Fulltime,Program Specialist II,07/17/1989
M,115820.9824,DOT,Department of Transportation,Fulltime,Manager III,02/27/2012
F,104414.911,HHS,Department of Health and Human Services,Fulltime,Social Worker III,03/07/1994
F,77451.44,COR,Correction and Rehabilitation,Fulltime,Social Worker III,07/25/2016
F,99366.3,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,08/07/2006
F,25177.79,SHF,Sheriff's Office,Parttime,Public Safety Telephone Reporting Aide I,11/13/2017
F,55768.6,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,08/11/2014
F,63837.18,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),06/23/2008
F,69540.5942,DTS,Department of Technology Services,Fulltime,Office Services Coordinator,09/19/1988
M,70140.91,POL,Department of Police,Fulltime,Public Safety Emergency Communications Supervisor,01/05/2009
F,77610.0402,POL,Department of Police,Fulltime,Client Assistance Specialist,05/30/2006
M,44962.91,DLC,Department of Liquor Control,Fulltime,Liquor Store Clerk II,05/25/2008
M,59921.7768,POL,Department of Police,Fulltime,Security Officer I,10/04/2004
F,95069.5416,LIB,Department of Public Libraries,Fulltime,Librarian II,05/16/1993
M,92858.39,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,03/27/2006
M,69540.5942,DOT,Department of Transportation,Fulltime,Equipment Operator III,09/23/1985
M,75165.21,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/17/2008
F,93529.2204,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,03/17/2008
M,81310.05,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,10/09/2006
M,55210.5279,LIB,Department of Public Libraries,Fulltime,Library Assistant Supervisor,09/05/2007
F,70531.62,CUS,Community Use of Public Facilities,Fulltime,Administrative Specialist II,09/23/2013
M,112181.58,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,02/14/2000
M,60194,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),09/23/2013
M,121372,DGS,Department of General Services,Fulltime,Capital Projects Manager,05/16/2005
M,49470.1,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2008
M,58157,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),02/10/2014
M,72910.89,DOT,Department of Transportation,Fulltime,Transit Coordinator,08/30/1998
M,67403,POL,Department of Police,Fulltime,Police Officer III,07/16/2012
M,92223.6774,HHS,Department of Health and Human Services,Fulltime,Accountant/Auditor III,10/02/2000
M,105241,PRO,Office of Procurement,Fulltime,Program Manager II,12/27/2004
F,65057.5542,DOT,Department of Transportation,Fulltime,Bus Operator,10/01/2000
M,111309.66,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,08/17/1998
M,107345.82,POL,Department of Police,Fulltime,Public Safety Emergency Communications Manager,08/05/1996
F,63011.1874,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2008
F,150823.0845,CCL,County Council,Fulltime,Confidential Aide,01/21/2007
M,44171.5923,DLC,Department of Liquor Control,Fulltime,Truck Driver/Warehouse Worker,12/15/2014
M,73676.79,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/04/2007
M,98461.58,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,12/13/2004
F,54337.8052,HHS,Department of Health and Human Services,Fulltime,Program Specialist II,05/16/2016
M,93703.4546,HHS,Department of Health and Human Services,Fulltime,Program Manager II,02/13/1995
M,106293.41,FRS,Fire and Rescue Services,Fulltime,Program Manager II,11/28/1989
F,56018.368,CCL,County Council,Parttime,Legislative Senior Aide III,05/14/2007
F,72313.563,LIB,Department of Public Libraries,Fulltime,Librarian II,01/23/2017
M,45704.34,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,10/02/2017
M,88823.0079,DEP,Department of Environmental Protection,Fulltime,Program Specialist II,08/18/1988
M,78198.8328,DLC,Department of Liquor Control,Fulltime,Liquor Store Manager,02/24/2002
M,75622.7388,DOT,Department of Transportation,Fulltime,Work Force Leader II,11/06/1989
M,78962,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,07/19/2004
M,76734.8428,DGS,Department of General Services,Fulltime,Mechanic Technician II,01/26/2004
M,79866.8772,DGS,Department of General Services,Fulltime,Mechanic Technician II,07/10/2000
M,82915.84,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,06/07/2004
F,94717.5978,REC,Department of Recreation,Fulltime,Program Manager I,12/31/1984
M,138790,COR,Correction and Rehabilitation,Fulltime,Manager III,10/21/1984
M,137068.7175,DTS,Department of Technology Services,Fulltime,Manager III,05/19/2003
M,73708.41,CCL,County Council,Fulltime,Legislative Senior Aide III,03/19/2007
M,101747,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Lieutenant,09/03/2002
M,97041.0727,HHS,Department of Health and Human Services,Fulltime,Supervisory Therapist,09/05/2001
F,49729.3137,CEC,Community Engagement Cluster,Fulltime,Urban District Public Service Aide,11/15/2004
F,100834.461,POL,Department of Police,Fulltime,Master Police Officer,01/18/1994
F,55049.7948,POL,Department of Police,Fulltime,Code Enforcement Inspector III,03/24/2014
F,36080.3124,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,08/04/2003
F,49293.0601,DEP,Department of Environmental Protection,Fulltime,Refuse Disposal Cashier,08/08/2016
F,90950.31,POL,Department of Police,Fulltime,Police Officer III,08/31/1998
F,93825.2,HHS,Department of Health and Human Services,Fulltime,Program Manager I,06/16/2003
M,113669.77,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,03/03/1969
F,71713.0074,COR,Correction and Rehabilitation,Fulltime,Correctional Records Technician,09/07/1999
M,126275.4288,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,10/28/1996
M,58993.27,DGS,Department of General Services,Fulltime,Mechanic Technician II,09/08/2014
F,80854.38,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),02/14/2000
M,123557.7,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,09/11/2000
F,46531.0434,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,10/04/2004
F,65773.22,POL,Department of Police,Fulltime,Police Officer III,01/28/2013
M,112608.204,HHS,Department of Health and Human Services,Fulltime,Manager III,02/02/1998
M,72189.74,POL,Department of Police,Fulltime,Police Officer III,08/12/2013
M,82262,OCP,Office of Consumer Protection,Fulltime,Investigator III,10/16/2017
M,46335.7026,LIB,Department of Public Libraries,Parttime,Library Assistant I,01/12/1998
M,131725.9722,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,08/27/1990
M,74139.94,DOT,Department of Transportation,Fulltime,Work Force Leader II,12/31/2001
F,160454,HHS,Department of Health and Human Services,Fulltime,Manager II,08/10/1992
M,93706.38,POL,Department of Police,Fulltime,Police Officer III,03/29/1999
M,74421,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/02/2008
M,101832.822,POL,Department of Police,Fulltime,Master Police Officer,02/25/1985
F,99366.3,HHS,Department of Health and Human Services,Fulltime,Social Worker III,05/17/2004
F,71780.6091,HHS,Department of Health and Human Services,Fulltime,Income Assistance Program Specialist II,07/12/2004
F,70250.1921,LIB,Department of Public Libraries,Fulltime,Library Assistant II,09/05/1978
M,77856.86,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/27/2006
M,30831.8155,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,04/06/2015
M,63125.1516,DOT,Department of Transportation,Fulltime,Bus Operator,07/22/2001
F,82819.53,CEX,Offices of the County Executive,Fulltime,Administrative Specialist II,11/14/2005
F,48985,REC,Department of Recreation,Fulltime,Recreation Coordinator,06/06/2015
M,48480.698,DOT,Department of Transportation,Fulltime,Bus Operator,07/18/1999
F,45400.3686,DOT,Department of Transportation,Fulltime,Community Services Aide II,05/15/2017
M,61101.0906,DGS,Department of General Services,Fulltime,Mechanic Technician II,10/13/2008
F,60521.22,POL,Department of Police,Fulltime,Police Officer III,02/24/2014
M,139488.3369,HCA,Department of Housing and Community Affairs,Fulltime,Manager II,08/21/2006
M,104188.59,HCA,Department of Housing and Community Affairs,Fulltime,Program Manager II,05/30/2006
M,54721.4382,POL,Department of Police,Fulltime,Security Officer I,06/24/2001
M,57089.34,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,07/29/2013
M,73237.36,POL,Department of Police,Fulltime,Police Officer III,07/16/2007
F,95815.4967,DOT,Department of Transportation,Fulltime,Program Manager II,01/13/2014
M,72610.7196,DEP,Department of Environmental Protection,Fulltime,Program Specialist II,07/15/2002
